./trafficnew/2d_mesh_8x8/fpppp_2d_mesh_8x8.stp execution_iteration
13175	353750
./trafficnew/2d_mesh_8x8/satell_2d_mesh_8x8.stp injection_rate
0.00686374	0.00592777	0.00826769	0.00733172	0.00623976	0.00670775	0.0053038	0.00686374	0.00733172	0.00733172	0.00998362	0.00826769	0.00764371	0.00639576	0.00592777	0.00483582	0.00811169	0.0077997	0.00826769	0.00904766	0.00873567	0.00756571	0.00701973	0.00623976	0.00904766	0.00920365	0.0106076	0.15459	0.00889166	0.00701973	0.00920365	0.00811169	0.00608377	0.00904766	0.00873567	0.0719133	0.00639576	0.0053038	0.0077997	0.00545979	0.00670775	0.00655175	0.00686374	0.00764371	0.00998362	0.00561579	0.00545979	0.00748772	0.00639576	0.00873567	0.00811169	0.00608377	0.00889166	0.00686374	0.0053038	0.00733172	0.00405585	0.00444583	0.00935964	0.00623976	0.00592777	0.0078777	0.00733172	0.00623976	

./trafficnew/2d_mesh_8x8/sparse_2d_mesh_8x8.stp execution_iteration
0	40611
2388	50086
4608	64294
6907	84252
9586	108136
12466	133170
15205	159222
17786	170599
20396	180891
22851	218215
25242	246590
28010	265306
30540	283051
32684	293946
35484	305187
38181	310926
40861	317609
43118	322026
45992	325532
48439	329383
50758	332681
53383	337681
55770	341442
58027	347566
60449	351650
63226	360208
65901	372202
68589	385832
71376	397723
73839	406560
./trafficnew/2d_mesh_8x8/sparse_2d_mesh_8x8.stp injection_rate
0	0	0	0.13314	0	0	0	0	0	0	0	0.260488	0.262682	0	0	0	0.0899304	0	0.462466	0	0	0.152273	0.199637	0	0	0	0.220672	0	0	0.194167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

./trafficnew/2d_mesh_8x8/fpppp_2d_mesh_8x8.stp execution_iteration
0	235102
508	263979
1366	352926
2204	381925
3378	457233
4581	490704
5563	491147
6811	491574
8229	576118
9043	576465
10043	650914
11134	675386
12030	757192
12973	778362
13772	857714
14711	881152
17815	967158
21780	991321
25861	1.07517e+06
30287	1.09824e+06
34996	1.17525e+06
39623	1.20055e+06
44181	1.27446e+06
50769	1.29399e+06
55820	1.38058e+06
62108	1.39811e+06
66134	1.47701e+06
70701	1.50152e+06
74888	1.58145e+06
77445	1.60077e+06
./trafficnew/2d_mesh_8x8/fpppp_2d_mesh_8x8.stp injection_rate
0.000388088	0.000895532	0.00460287	0.00146155	0.00105955	0.00105516	0.000946789	0.00111813	0.00115328	0.0052531	0.00644373	0.00398266	0.0037315	0.00202904	0.000918231	0.00122577	0.00158457	0.00106029	0.0143292	0.005319	0.00269758	0.002237	0.000586526	0.000613619	0.00163876	0.00249621	0.00616035	0.00617426	0.0155719	3.29509e-05	0.00045399	0.00105882	0.000369782	0.00459335	0.00338369	0.00273639	0.00229045	0.000923357	0.000463509	0.00107932	0.0010742	0.000445935	0.00229045	0.00162924	0.00124042	0	0.000153771	0.000448132	0.00011423	0.00120747	0.00162851	0.00226556	0.0006041	0	0.000507444	0.00117232	0.000879422	0.000275323	0.000906515	0.00030388	0	0	0.000514034	0.000450329	

./trafficnew/2d_mesh_8x8/h264dh_2d_mesh_8x8.stp execution_iteration
0	559960
10957	585622
28501	589388
62422	696668
94423	752886
94502	831413
94570	838711
94638	901661
94708	909884
94765	953177
94855	1.00856e+06
94920	1.08199e+06
94986	1.1105e+06
95052	1.1829e+06
95125	1.20973e+06
95199	1.27779e+06
95281	1.30489e+06
95367	1.38204e+06
95474	1.40975e+06
95550	1.4832e+06
95640	1.50921e+06
95709	1.58076e+06
95781	1.60715e+06
95862	1.6391e+06
95943	1.70214e+06
96043	1.73326e+06
96131	1.75384e+06
96200	1.78787e+06
